Question,Options,Correct Option,Explanation,Topic
"What least number must be added to 1056, so that the sum is completely divisible by 23 ?","['2', '3', '18', '21', 'None of these']",A,"23) 1056 (45
      92
      ---
      136
      115
      ---
       21
      ---
     
 Required number = (23 - 21)    
                 = 2.",numbers
1397 x 1397 = ?,"['1951609', '1981709', '18362619', '2031719', 'None of these']",A,1397 x 1397= (1397)2= (1400 - 3)2= (1400)2+ (3)2- (2 x 1400 x 3)= 1960000 + 9 - 8400= 1960009 - 8400= 1951609.,numbers
"How many of the following numbers are divisible by 132 ?264, 396, 462, 792, 968, 2178, 5184, 6336","['4', '5', '6', '7']",A,"132 = 4 x 3 x 11So, if the number divisible by all the three number 4, 3 and 11, then the number is divisible by 132 also.26411,3,4  (/)39611,3,4 (/)46211,3 (X)79211,3,4  (/)96811,4  (X)217811,3 (X)51843,4 (X)633611,3,4  (/)Therefore the following numbers are divisible by 132 : 264, 396, 792 and 6336.Required number of number = 4.",numbers
(935421 x 625) = ?,"['575648125', '584638125', '584649125', '585628125']",B,935421 x 625 = 935421 x 54= 935421 x1042=935421 x 104=93542100002416= 584638125,numbers
The largest 4 digit number exactly divisible by 88 is:,"['9944', '9768', '9988', '8888', 'None of these']",A,"Largest 4-digit number = 9999

 88) 9999 (113
     88
     ----
     119
      88
     ----
      319
      264
      ---
       55
      ---
       
 Required number = (9999 - 55)
                 = 9944.",numbers
Which of the following is a prime number ?,"['33', '81', '93', '97']",D,"Clearly, 97 is a prime number.",numbers
What is the unit digit in {(6374)1793x (625)317x (341491)}?,"['0', '2', '3', '5']",A,Unit digit in (6374)1793= Unit digit in (4)1793= Unit digit in [(42)896x 4]= Unit digit in (6 x 4) = 4Unit digit in (625)317= Unit digit in (5)317= 5Unit digit in (341)491= Unit digit in (1)491= 1Required digit = Unit digit in (4 x 5 x 1) = 0.,numbers
Which one of the following can't be the square of natural number ?,"['30976', '75625', '28561', '143642', 'None of these']",D,The square of a natural number nerver ends in 2.143642 is not the square of natural number.,numbers
(1000)9÷ 1024= ?,"['10000', '1000', '100', '10', 'None of these']",B,Given Exp. =(1000)9=(103)9=(10)27= 10(27-24)= 103= 1000102410241024,numbers
{(476 + 424)2- 4 x 476 x 424} = ?,"['2906', '3116', '2704', '2904', 'None of these']",C,"Given Exp.= [(a+b)2- 4ab], wherea= 476 andb= 424= [(476 + 424)2- 4 x 476 x 424]= [(900)2- 807296]= 810000 - 807296= 2704.",numbers
"If one-third of one-fourth of a number is 15, then three-tenth of that number is:","['35', '36', '45', '54']",D,"Let the number bex.Then,1of1ofx= 15x= 15 x 3 x 4 = 180.34So, required number =3x 180= 54.10Video Explanation:https://youtu.be/z49OUnzTnwY",problems-on-numbers
Three times the first of three consecutive odd integers is 3 more than twice the third. The third integer is:,"['9', '11', '13', '15']",D,"Let the three integers bex,x+ 2 andx+ 4.Then, 3x= 2(x+ 4) + 3x= 11.Third integer =x+ 4 = 15.Video Explanation:https://youtu.be/_77C9YE321Y",problems-on-numbers
The difference between a two-digit number and the number obtained by interchanging the positions of its digits is 36. What is the difference between the two digits of that number?,"['3', '4', '9', 'Cannot be determined', 'None of these']",B,"Let the ten's digit bexand unit's digit bey.Then, (10x+y) - (10y+x) = 369(x-y) = 36x-y= 4.Video Explanation:https://youtu.be/7QOJjAmGVx0",problems-on-numbers
The difference between a two-digit number and the number obtained by interchanging the digits is 36. What is the difference between the sum and the difference of the digits of the number if the ratio between the digits of the number is 1 : 2 ?,"['4', '8', '16', 'None of these']",B,"Since the number is greater than the number obtained on reversing the digits, so the ten's digit is greater than the unit's digit.Let ten's and unit's digits be 2xandxrespectively.Then, (10 x 2x+x) - (10x+ 2x) = 369x= 36x= 4.Required difference = (2x+x) - (2x-x) = 2x= 8.",problems-on-numbers
"A two-digit number is such that the product of the digits is 8. When 18 is added to the number, then the digits are reversed. The number is:","['18', '24', '42', '81']",B,"Let the ten's and unit digit bexand8respectively.xThen,10x+8+ 18 = 10 x8+xxx10x2+ 8 + 18x= 80 +x29x2+ 18x- 72 = 0x2+ 2x- 8 = 0(x+ 4)(x- 2) = 0x= 2.",problems-on-numbers
The sum of the digits of a two-digit number is 15 and the difference between the digits is 3. What is the two-digit number?,"['69', '78', '96', 'Cannot be determined', 'None of these']",D,"Let the ten's digit bexand unit's digit bey.Then,x+y= 15 andx-y= 3   ory-x= 3.Solvingx+y= 15   andx-y= 3, we get:x= 9,y= 6.Solvingx+y= 15   andy-x= 3, we get:x= 6,y= 9.So, the number is either 96 or 69.Hence, the number cannot be determined.",problems-on-numbers
"The sum of the squares of three numbers is 138, while the sum of their products taken two at a time is 131. Their sum is:","['20', '30', '40', 'None of these']",A,"Let the numbers bea,bandc.Then,a2+b2+c2= 138 and (ab+bc+ca) = 131.(a + b + c)2=a2+b2+c2+ 2(ab+bc+ca) = 138 + 2 x 131 = 400.(a+b+c) =400= 20.Video Explanation:https://youtu.be/qmJ-0X8j_xQ",problems-on-numbers
"A number consists of two digits. If the digits interchange places and the new number is added to the original number, then the resulting number will be divisible by:","['3', '5', '9', '11']",D,"Let the ten's digit bexand unit's digit bey.Then, number = 10x+y.Number obtained by interchanging the digits = 10y+x.(10x+y) + (10y+x) = 11(x+y), which is divisible by 11.Video Explanation:https://youtu.be/lytJE8GqRvM",problems-on-numbers
"In a two-digit, if it is known that its unit's digit exceeds its ten's digit by 2 and that the product of the given number and the sum of its digits is equal to 144, then the number is:","['24', '26', '42', '46']",A,"Let the ten's digit bex.Then, unit's digit =x+ 2.Number = 10x+ (x+ 2) = 11x+ 2.Sum of digits =x+ (x+ 2) = 2x+ 2.(11x+ 2)(2x+ 2) = 14422x2+ 26x- 140 = 011x2+ 13x- 70 = 0(x- 2)(11x+ 35) = 0x= 2.Hence, required number = 11x+ 2 = 24.",problems-on-numbers
Find a positive number which when increased by 17 is equal to 60 times the reciprocal of the number.,"['3', '10', '17', '20']",A,"Let the number bex.Then,x+ 17 =60xx2+ 17x- 60 = 0(x+ 20)(x- 3) = 0x= 3.",problems-on-numbers
"The product of two numbers is 9375 and the quotient, when the larger one is divided by the smaller, is 15. The sum of the numbers is:","['380', '395', '400', '425']",C,"Let the numbers bexandy.Then,xy= 9375 andx= 15.yxy=9375(x/y)15y2= 625.y= 25.x= 15y= (15 x 25) = 375.Sum of the numbers =x+y= 375 + 25 = 400.",problems-on-numbers
The product of two numbers is 120 and the sum of their squares is 289. The sum of the number is:,"['20', '23', '169', 'None of these']",B,"Let the numbers bexandy.Then,xy= 120 andx2+y2= 289.(x+y)2=x2+y2+ 2xy= 289 + (2 x 120) = 529x+y=529= 23.",problems-on-numbers
A number consists of 3 digits whose sum is 10. The middle digit is equal to the sum of the other two and the number will be increased by 99 if its digits are reversed. The number is:,"['145', '253', '370', '352']",B,"Let the middle digit bex.Then, 2x= 10 orx= 5. So, the number is either 253 or 352.Since the number increases on reversing the digits, so the hundred's digits is smaller than the unit's digit.Hence, required number = 253.",problems-on-numbers
The sum of two number is 25 and their difference is 13. Find their product.,"['104', '114', '315', '325']",B,"Let the numbers bexandy.Then,x+y= 25 andx-y= 13.4xy= (x+y)2- (x-y)2= (25)2- (13)2= (625 - 169)= 456xy= 114.",problems-on-numbers
"What is the sum of two consecutive even numbers, the difference of whose squares is 84?","['34', '38', '42', '46']",C,"Let the numbers bexandx+ 2.Then, (x+ 2)2-x2= 844x+ 4 = 844x= 80x= 20.The required sum =x+ (x+ 2) = 2x+ 2 = 42.",problems-on-numbers
"Find the greatest number that will divide 43, 91 and 183 so as to leave the same remainder in each case.","['4', '7', '9', '13']",A,"Required number = H.C.F. of (91 - 43), (183 - 91) and (183 - 43)= H.C.F. of 48, 92 and 140 = 4.",problems-on-hcf-and-lcm
The H.C.F. of two numbers is 23 and the other two factors of their L.C.M. are 13 and 14. The larger of the two numbers is:,"['276', '299', '322', '345']",C,"Clearly, the numbers are (23 x 13) and (23 x 14).Larger number = (23 x 14) = 322.",problems-on-hcf-and-lcm
"Six bells commence tolling together and toll at intervals of 2, 4, 6, 8 10 and 12 seconds respectively. In 30 minutes, how many times do they toll together ?","['4', '10', '15', '16']",D,"L.C.M. of 2, 4, 6, 8, 10, 12 is 120.So, the bells will toll together after every 120 seconds(2 minutes).In 30 minutes, they will toll together30+ 1 = 16 times.2",problems-on-hcf-and-lcm
"Let N be the greatest number that will divide 1305, 4665 and 6905, leaving the same remainder in each case. Then sum of the digits in N is:","['4', '5', '6', '8']",A,"N = H.C.F. of (4665 - 1305), (6905 - 4665) and (6905 - 1305)= H.C.F. of 3360, 2240 and 5600 = 1120.Sum of digits in N = ( 1 + 1 + 2 + 0 ) = 4",problems-on-hcf-and-lcm
"The greatest number of four digits which is divisible by 15, 25, 40 and 75 is:","['9000', '9400', '9600', '9800']",C,"Greatest number of 4-digits is 9999.L.C.M. of 15, 25, 40 and 75 is 600.On dividing 9999 by 600, the remainder is 399.Required number (9999 - 399) = 9600.",problems-on-hcf-and-lcm
"The product of two numbers is 4107. If the H.C.F. of these numbers is 37, then the greater number is:","['101', '107', '111', '185']",C,"Let the numbers be 37aand 37b.Then, 37ax 37b= 4107ab= 3.Now, co-primes with product 3 are (1, 3).So, the required numbers are (37 x 1, 37 x 3)i.e.,(37, 111).Greater number =  111.",problems-on-hcf-and-lcm
Three number are in the ratio of 3 : 4 : 5 and their L.C.M. is 2400. Their H.C.F. is:,"['40', '80', '120', '200']",A,"Let the numbers be 3x, 4xand 5x.Then, their L.C.M. = 60x.So, 60x= 2400 or x = 40.The numbers are (3 x 40), (4 x 40) and (5 x 40).Hence, required H.C.F. = 40.",problems-on-hcf-and-lcm
"The G.C.D. of 1.08, 0.36 and 0.9 is:","['0.03', '0.9', '0.18', '0.108']",C,"Given numbers are 1.08, 0.36 and 0.90.   H.C.F. of 108, 36 and 90 is 18,H.C.F. of given numbers = 0.18.",problems-on-hcf-and-lcm
The product of two numbers is 2028 and their H.C.F. is 13. The number of such pairs is:,"['1', '2', '3', '4']",B,"Let the numbers 13aand 13b.Then, 13ax 13b= 2028ab= 12.Now, the co-primes with product 12 are (1, 12) and (3, 4).[Note: Two integersaandbare said to becoprimeor relatively prime if they have no common positive factor other than 1 or, equivalently, if their greatest common divisor is 1 ]So, the required numbers are (13 x 1, 13 x 12) and (13 x 3, 13 x 4).Clearly, there are 2 such pairs.",problems-on-hcf-and-lcm
"The least multiple of 7, which leaves a remainder of 4, when divided by 6, 9, 15 and 18 is:","['74', '94', '184', '364']",D,"L.C.M. of 6, 9, 15 and 18 is 90.Let required number be 90k+ 4, which is multiple of 7.Least value ofkfor which (90k+ 4) is divisible by 7 isk= 4.Required number = (90 x 4) + 4   = 364.",problems-on-hcf-and-lcm
"The greatest number which on dividing 1657 and 2037 leaves remainders 6 and 5 respectively, is:","['123', '127', '235', '305']",B,Required number = H.C.F. of (1657 - 6) and (2037 - 5)= H.C.F. of 1651 and 2032 = 127.,problems-on-hcf-and-lcm
Which of the following has the most number of divisors?,"['99', '101', '176', '182']",C,"99 = 1 x 3 x 3 x 11101 = 1 x 101176 = 1 x 2 x 2 x 2 x 2 x 11182 = 1 x 2 x 7 x 13So, divisors of 99 are 1, 3, 9, 11, 33, .99Divisors of 101 are 1 and 101Divisors of 176 are 1, 2, 4, 8, 11, 16, 22, 44, 88 and 176Divisors of 182 are 1, 2, 7, 13, 14, 26, 91 and 182.Hence, 176 has the most number of divisors.",problems-on-hcf-and-lcm
The L.C.M. of two numbers is 48. The numbers are in the ratio 2 : 3. Then sum of the number is:,"['28', '32', '40', '64']",C,"Let the numbers be 2xand 3x.Then, their L.C.M. = 6x.So, 6x= 48 orx= 8.The numbers are 16 and 24.Hence, required sum = (16 + 24) = 40.",problems-on-hcf-and-lcm
"The H.C.F. of9,12,18and21is:10253540","['35', '2525', '31400', '63700']",C,"Required H.C.F. =H.C.F. of 9, 12, 18, 21=3L.C.M. of 10, 25, 35, 401400",problems-on-hcf-and-lcm
"If the sum of two numbers is 55 and the H.C.F. and L.C.M. of these numbers are 5 and 120 respectively, then the sum of the reciprocals of the numbers is equal to:","['55601', '60155', '11120', '12011']",C,"Let the numbers beaandb.Then,a+b= 55 andab= 5 x 120 = 600.The required sum =1+1=a+b=55=11abab600120",problems-on-hcf-and-lcm
Evaluate :(2.39)2- (1.61)22.39 - 1.61,"['2', '4', '6', '8']",B,Given Expression =a2-b2=(a+b)(a-b)= (a+b) = (2.39 + 1.61) = 4.a-b(a-b),decimal-fraction
What decimal of an hour is a second ?,"['.0025', '.0256', '.00027', '.000126']",C,Required decimal =1=1= .0002760 x 603600,decimal-fraction
The value of(0.96)3- (0.1)3is:(0.96)2+ 0.096 + (0.1)2,"['0.86', '0.95', '0.97', '1.06']",A,Given expression=(0.96)3- (0.1)3(0.96)2+ (0.96 x 0.1) + (0.1)2=a3-b3a2+ab+b2= (a-b)= (0.96 - 0.1)= 0.86,decimal-fraction
The value of0.1 x 0.1 x 0.1 + 0.02 x 0.02 x 0.02is:0.2 x 0.2 x 0.2 + 0.04 x 0.04 x 0.04,"['0.0125', '0.125', '0.25', '0.5']",B,Given expression =(0.1)3+ (0.02)3=1= 0.12523[(0.1)3+ (0.02)3]8,decimal-fraction
"If 2994 ÷ 14.5 = 172, then 29.94 ÷ 1.45 = ?","['0.172', '1.72', '17.2', '172']",C,"29.94=299.41.4514.5=2994x1[ Here, Substitute 172 in the place of 2994/14.5 ]14.510=17210= 17.2",decimal-fraction
"When 0.232323..... is converted into a fraction, then the result is:","['15', '29', '2399', '23100']",C,0.232323... = 0.23=2399,decimal-fraction
.009= .01?,"['.0009', '.09', '.9', '9']",C,Let.009= .01;     Thenx=.009=.9= .9x.011,decimal-fraction
The expression (11.98 x 11.98 + 11.98 xx+ 0.02 x 0.02) will be a perfect square forxequal to:,"['0.02', '0.2', '0.04', '0.4']",C,"Given expression = (11.98)2+ (0.02)2+ 11.98  xx.For the given expression to be a perfect square, we must have11.98 xx= 2 x 11.98 x 0.02 orx= 0.04",decimal-fraction
(0.1667)(0.8333)(0.3333)is approximately equal to:(0.2222)(0.6667)(0.1250),"['2', '2.40', '2.43', '2.50']",D,Given expression=(0.3333)x(0.1667)(0.8333)(0.2222)(0.6667)(0.1250)=3333x1x56622222x12531000=3x1x5x3x 82662=52= 2.50,decimal-fraction
3889 + 12.952  - ? = 3854.002,"['47.095', '47.752', '47.932', '47.95']",D,Let 3889 + 12.952 -x= 3854.002.Thenx= (3889 + 12.952) - 3854.002= 3901.952 - 3854.002= 47.95.,decimal-fraction
The correct expression of 6.46in the fractional form is:,"['64699', '646401000', '640100', '64099']",D,6.46= 6 + 0.46= 6 +46=594 + 46=640.999999,decimal-fraction
The fraction 10127in decimal for is:100000,"['.01027', '.10127', '101.00027', '101.000027']",C,10127= 101 +27= 101 + .00027 = 101.00027100000100000,decimal-fraction
0.0203 x 2.92= ?0.0073 x 14.5 x 0.7,"['0.8', '1.45', '2.40', '3.25']",A,0.0203 x 2.92=203 x 292=4= 0.80.0073 x 14.5 x 0.773 x 145 x 75,decimal-fraction
4.036 divided by 0.04 gives :,"['1.009', '10.09', '100.9', 'None of these']",C,4.036=403.6= 100.90.044,decimal-fraction
3.87- 2.59= ?,"['1.20', '1.2', '1.27', '1.28']",D,3.87- 2.59= (3 + 0.87) - (2 + 0.59)=3 +87-2 +599999= 1 +87-599999= 1 +2899= 1.28.,decimal-fraction
"A man  has  Rs.480 in the denominations of one-rupee notes, five-rupee notes and ten-rupee notes. The number of notes of each denomination is equal. What is the total number of notes that he has ?","['45', '60', '75', '90']",D,"Let number of notes of each denomination bex.Thenx+ 5x+ 10x= 48016x= 480x= 30.Hence, total number of notes = 3x= 90.",simplification
"There are two examinations rooms A and B. If 10 students are sent from A to B, then the number of students in each room is the same. If 20 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:","['20', '80', '100', '200']",C,"Let the number of students in rooms A and B bexandyrespectively.Then,x- 10 =y+ 10x-y= 20 .... (i)andx+ 20 = 2(y- 20)x- 2y= -60 .... (ii)Solving (i) and (ii) we get:x= 100 ,y= 80.The required answer A = 100.",simplification
The price of 10 chairs is equal to that of 4 tables. The price of 15 chairs and 2 tables together is Rs. 4000. The total price of 12 chairs and 3 tables is:,"['Rs. 3500', 'Rs. 3750', 'Rs. 3840', 'Rs. 3900']",D,"Let the cost of a chair and that of a table be Rs.xand Rs.yrespectively.Then, 10x= 4yory=5x.215x+ 2y= 400015x+ 2 x5x= 4000220x= 4000x= 200.So,y=5x 200= 500.2Hence, the cost of 12 chairs and 3 tables = 12x+ 3y= Rs. (2400 + 1500)= Rs. 3900.",simplification
"Ifa-b= 3 anda2+b2= 29, find the value ofab.","['10', '12', '15', '18']",A,2ab= (a2+b2) - (a-b)2= 29 - 9 = 20ab= 10.,simplification
"The price of 2 sarees and 4 shirts is Rs. 1600. With the same money one can buy 1 saree and 6 shirts. If one wants to buy 12 shirts, how much shall he have to pay ?","['Rs. 1200', 'Rs. 2400', 'Rs. 4800', 'Cannot be determined', 'None of these']",B,"Let the price of a saree and a shirt be Rs.xand Rs.yrespectively.Then, 2x+ 4y= 1600  .... (i)andx+ 6y= 1600 .... (ii)Divide equation (i) by 2, we get the below equation. 

=> x +  2y =  800. --- (iii)

Now subtract (iii) from (ii)

 x +  6y = 1600  (-)
 x +  2y =  800  
----------------
      4y =  800
----------------

Therefore, y = 200.

Now apply value of y in (iii)

=>  x + 2 x 200 = 800

=>  x + 400 = 800

Therefore x = 400Solving (i) and (ii) we getx= 400,y= 200.Cost of 12 shirts = Rs. (12 x 200) = Rs. 2400.",simplification
"A sum of Rs. 1360 has been divided among A, B and C such that A getsof what B gets and B getsof what C gets. B's share is:","['Rs. 120', 'Rs. 160', 'Rs. 240', 'Rs. 300']",C,"Let C's share = Rs.xThen, B's share = Rs.x,   A's share = Rs.2xx= Rs.x4346x+x+x= 13606417x= 136012x=1360 x 12= Rs. 96017Hence, B's share = Rs.960=  Rs. 240.4",simplification
"One-third of Rahul's savings in National Savings Certificate is equal to one-half of his savings in Public Provident Fund. If he has Rs. 1,50,000 as total savings, how much has he saved in Public Provident Fund ?","['Rs. 30,000', 'Rs. 50,000', 'Rs. 60,000', 'Rs. 90,000']",C,"Let savings in N.S.C and P.P.F. be Rs.xand Rs. (150000 -x) respectively. Then,1x =1(150000 -x)32x+x= 75000325x= 750006x=75000 x 6= 900005Savings in Public Provident Fund = Rs. (150000 - 90000) = Rs. 60000",simplification
"A fires 5 shots to B's 3 but A kills only once in 3 shots while B kills once in 2 shots. When B has missed 27 times, A has killed:","['30 birds', '60 birds', '72 birds', '90 birds']",A,"Let the total number of shots bex. Then,Shots fired by A =5x8Shots fired by B =3x8Killing shots by A =1of5x=5x3824Shots missed by B =1of3x=3x28163x= 27 orx=27 x 16= 144.163Birds killed by A =5x=5x 144= 30.2424",simplification
"Eight people are planning to share equally the cost of a rental car. If one person withdraws from the arrangement and the others share equally the entire cost of the car, then the share of each of the remaining persons increased by:","['17', '18', '19', '78']",A,Original share of 1 person =18New share of 1 person =17Increase =1-1=17856Required fraction =(1/56)=1x8=1(1/8)5617,simplification
"To fill a tank, 25 buckets of water is required. How many buckets of water will be required to fill the same tank if the capacity of the bucket is reduced to two-fifth of its present ?","['10', '35', '62.5', 'Cannot be determined', 'None of these']",C,"Let the capacity of 1 bucket =x.Then, the capacity of tank = 25x.New capacity of bucket =2x5Required number of buckets =25x(2x/5)=25xx52x=1252= 62.5",simplification
"In a regular week, there are 5 working days and for each day, the working hours are 8. A man gets Rs. 2.40 per hour for regular work and Rs. 3.20 per hours for overtime. If he earns Rs. 432 in 4 weeks, then how many hours does he work for ?","['160', '175', '180', '195']",B,"Suppose the man works overtime forxhours.Now, working hours in 4 weeks = (5 x 8 x 4) = 160.160 x 2.40 +xx 3.20 = 4323.20x= 432 - 384 = 48x= 15.Hence, total hours of work = (160 + 15) = 175.",simplification
"Free notebooks were distributed equally among children of a class. The number of notebooks each child got was one-eighth of the number of children. Had the number of children been half, each child would have got 16 notebooks. Total how many notebooks were distributed ?","['256', '432', '512', '640', 'None of these']",C,"Let total number of children bex.Then,xx1x=xx 16x= 64.82Number of notebooks =1x2=1x 64 x 64= 512.88",simplification
"A man has some hens and cows. If the number of heads be 48 and the number of feet equals 140, then the number of hens will be:","['22', '23', '24', '26']",D,"Let the number of hens bexand the number of cows bey.Then,x+y= 48 .... (i)and 2x+ 4y= 140x+ 2y= 70  .... (ii)Solving (i) and (ii) we get:x= 26,y= 22.The required answer = 26.",simplification
(469 + 174)2- (469 - 174)2= ?(469 x 174),"['2', '4', '295', '643']",B,"Given exp. =(a+b)2- (a-b)2ab=4abab= 4 (wherea= 469,b= 174.)",simplification
"David gets on the elevator at the 11thfloor of a building and rides up at the rate of 57 floors per minute. At the same time, Albert gets on an elevator at the 51st floor of the same building and rides down at the rate of 63 floors per minute. If they continue travelling at these rates, then at which floor will their paths cross ?","['19', '28', '30', '37']",C,"Suppose their paths cross afterxminutes.Then, 11 + 57x= 51 - 63x120x= 40x =13Number of floors covered by David in (1/3) min. =1x 57= 19.3So, their paths cross at (11 +19)i.e.,30thfloor.",simplification
The cube root of .000216 is:,"['.6', '.06', '77', '87']",B,(.000216)1/3=2161/3106=6 x 6 x 61/3102x 102x 102=6102=6100= 0.06,square-root-and-cube-root
What should come in place of bothxin the equationx=162.128x,"['12', '14', '144', '196']",A,Letx=162128xThenx2=128 x 162=64 x 2 x 18 x 9=82x 62x 32= 8 x 6 x 3= 144.x=144= 12.,square-root-and-cube-root
"The least perfect square, which is divisible by each of 21, 36 and 66 is:","['213444', '214344', '214434', '231444']",A,"L.C.M. of 21, 36, 66 = 2772.Now, 2772 = 2 x 2 x 3 x 3 x 7 x 11To make it a perfect square, it must be multiplied by 7 x 11.So, required number = 22x 32x 72x 112= 213444",square-root-and-cube-root
1.5625= ?,"['1.05', '1.25', '1.45', '1.55']",B,"1|1.5625( 1.25
    |1
    |-------
  22| 56
    | 44
    |-------
 245| 1225
    | 1225
    |-------
    |    X
    |-------1.5625= 1.25.",square-root-and-cube-root
"If 35+125= 17.88, then what will be the value of80+ 65?","['13.41', '20.46', '21.66', '22.35']",D,35+125= 17.8835+25 x 5= 17.8835+ 55= 17.8885= 17.885= 2.23580+ 65=16 x 5+ 65= 45+ 65= 105= (10 x 2.235) = 22.35,square-root-and-cube-root
"Ifa= 0.1039, then the value of4a2- 4a+ 1+ 3ais:","['0.1039', '0.2078', '1.1039', '2.1039']",C,4a2- 4a+ 1+ 3a=(1)2+ (2a)2- 2 x 1 x 2a+ 3a=(1 - 2a)2+ 3a= (1 - 2a) + 3a= (1 +a)= (1 + 0.1039)= 1.1039,square-root-and-cube-root
"Ifx=3+ 1andy=3- 1, then the value of (x2+y2) is:3- 13+ 1","['10', '13', '14', '15']",C,x=(3+ 1)x(3+ 1)=(3+ 1)2=3 + 1 + 23= 2 +3.(3- 1)(3+ 1)(3 - 1)2y=(3- 1)x(3- 1)=(3- 1)2=3 + 1 - 23= 2 -3.(3+ 1)(3- 1)(3 - 1)2x2+y2= (2 +3)2+ (2 -3)2= 2(4 + 3)= 14,square-root-and-cube-root
"A group of students decided to collect as many paise from each member of group as is the number of members. If the total collection amounts to Rs. 59.29, the number of the member is the group is:","['57', '67', '77', '87']",C,Money collected = (59.29 x 100) paise = 5929 paise.Number of members =5929= 77.,square-root-and-cube-root
The square root of (7 + 35) (7 - 35) is,"['5', '2', '4', '35']",B,(7 + 35)(7 - 35)=(7)2- (35)2=49 - 45=4= 2.,square-root-and-cube-root
"If5= 2.236, then the value of5-10+125is equal to:25","['5.59', '7.826', '8.944', '10.062']",B,5-10+125=(5)2- 20 + 25x 552525=5 - 20 + 5025=35x5255=35510=7 x 2.2362= 7 x 1.118= 7.826,square-root-and-cube-root
625x14x11is equal to:1125196,"['5', '6', '8', '11']",A,Given Expression =25x14x11= 5.11514,square-root-and-cube-root
0.0169 x ?= 1.3,"['10', '100', '1000', 'None of these']",B,"Let0.0169 xx= 1.3.Then, 0.0169x= (1.3)2= 1.69x=1.69= 1000.0169",square-root-and-cube-root
3-12simplifies to:3,"['34', '43', '43', 'None of these']",C,3-12= (3)2+12- 2 x3x1333= 3 +1- 23= 1 +13=43,square-root-and-cube-root
How many two-digit numbers satisfy this property.: The last digit (unit's digit) of the square of the two-digit number is 8 ?,"['1', '2', '3', 'None of these']",D,A number ending in 8 can never be a perfect square.,square-root-and-cube-root
The square root of 64009 is:,"['253', '347', '363', '803']",A,"2|64009( 253
    |4
    |----------
  45|240
    |225
    |----------
 503|  1509
    |  1509
    |----------
    |     X
    |----------64009= 253.",square-root-and-cube-root
(17)3.5x (17)?= 178,"['2.29', '2.75', '4.25', '4.5']",D,"Let (17)3.5x (17)x= 178.Then, (17)3.5 +x= 178.3.5 +x= 8x= (8 - 3.5)x= 4.5",surds-and-indices
"Ifax- 1=bx- 3, then the value ofxis:ba","['12', '1', '2', '72']",C,Givenax- 1=bx- 3baax- 1=a-(x- 3)=a(3 -x)bbbx- 1 = 3 -x2x= 4x= 2.,surds-and-indices
"Given that 100.48=x, 100.70=yandxz=y2, then the value ofzis close to:","['1.45', '1.88', '2.9', '3.7']",C,xz=y210(0.48z)= 10(2 x 0.70)= 101.400.48z= 1.40z=140=35= 2.9 (approx.)4812,surds-and-indices
"If 5a= 3125, then the value of 5(a- 3)is:","['25', '125', '625', '1625']",A,5a= 31255a= 55a= 5.5(a- 3)= 5(5 - 3)= 52= 25.,surds-and-indices
"If 3(x-y)= 27 and 3(x+y)= 243, thenxis equal to:","['0', '2', '4', '6']",C,"3x-y= 27 = 33x-y= 3 ....(i)3x+y= 243 = 35x+y= 5 ....(ii)On solving (i) and (ii), we getx= 4.",surds-and-indices
(256)0.16x (256)0.09= ?,"['4', '16', '64', '256.25']",A,(256)0.16x (256)0.09= (256)(0.16 + 0.09)= (256)0.25= (256)(25/100)= (256)(1/4)= (44)(1/4)= 44(1/4)= 41= 4,surds-and-indices
The value of [(10)150÷ (10)146],"['1000', '10000', '100000', '106']",B,(10)150÷ (10)146=1015010146= 10150 - 146= 104= 10000.,surds-and-indices
1+1+1= ?1 +x(b-a)+x(c-a)1 +x(a-b)+x(c-b)1 +x(b-c)+x(a-c),"['0', '1', 'xa-b-c', 'None of these']",B,Given Exp. =1+1+11 +xb+xcxaxa1 +xa+xcxbxb1 +xb+xaxcxc=xa+xb+xc(xa+xb+xc)(xa+xb+xc)(xa+xb+xc)=(xa+xb+xc)(xa+xb+xc)= 1.,surds-and-indices
(25)7.5x (5)2.5÷ (125)1.5= 5?,"['8.5', '13', '16', '17.5', 'None of these']",B,"Let (25)7.5x (5)2.5÷ (125)1.5= 5x.Then,(52)7.5x (5)2.5= 5x(53)1.55(2 x 7.5)x 52.5= 5x5(3 x 1.5)515x 52.5= 5x54.55x= 5(15 + 2.5 - 4.5)5x= 513x= 13.",surds-and-indices
(0.04)-1.5= ?,"['25', '125', '250', '625']",B,(0.04)-1.5=4-1.5100=1-(3/2)25= (25)(3/2)= (52)(3/2)= (5)2 x (3/2)= 53= 125.,surds-and-indices
(243)n/5x 32n+ 1= ?9nx 3n- 1,"['1', '2', '9', '3n']",C,Given Expression=(243)(n/5)x 32n+ 19nx 3n- 1=(35)(n/5)x 32n+ 1(32)nx 3n- 1=(35 x (n/5)x 32n+ 1)(32nx 3n- 1)=3nx 32n+ 132nx 3n- 1=3(n+ 2n+ 1)3(2n+n- 1)=33n+ 133n- 1= 3(3n+ 1 - 3n+ 1)= 32= 9.,surds-and-indices
1+1= ?1 +a(n-m)1 +a(m-n),"['0', '12', '1', 'am+n']",C,1+1=1+11 +anam1 +aman1 +a(n-m)1 +a(m-n)=am+an(am+an)(am+an)=(am+an)(am+an)= 1.,surds-and-indices
